min_temp,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
-36,9.47316277873029,9.191190740496355,9.046897183537016,9.64996656550589,9.562722611250898,9.591458679707792,9.240608116597562,9.12923657379155,9.13676877042717,8.880505628019774
-30,5.217410549909559,5.275659593773993,4.996972374792185,5.496124596267431,5.821722524073377,5.7223699545312785,5.123570046629027,4.891728577594519,4.959662714472502,4.712680886804669
-24,2.979523924985159,3.0136563592131984,2.901425980394764,3.151222157440602,3.420672163234568,3.387046797933637,2.8866684187653204,2.7299172904032023,2.7191998676251585,2.6436917266611593
-18,1.7423213272515292,1.774904954838911,1.7168652752952775,1.8786702345888417,2.1523960114483933,2.0225014550901563,1.7344369562923092,1.6241847167089998,1.6808024167023254,1.627416865135304
-12,0.4818542764567036,0.48533782223645694,0.46241092627672964,0.5177329654489848,0.6329014234554413,0.5509059860940314,0.47430365137358393,0.3904949664302011,0.4683053480997461,0.438955468199252
-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
