,Hemisphere,min_temp,Occurance rate
0,North,-36,0.17447916666666666
1,North,-30,0.13974358974358975
2,North,-24,0.09037328094302555
3,North,-18,0.0539906103286385
4,North,-12,0.01243953006219765
5,North,-6,0.0
6,South,-36,0.17142857142857143
7,South,-30,0.07747233131024633
8,South,-24,0.04795117698343505
9,South,-18,0.027218934911242602
10,South,-12,0.006634078212290503
11,South,-6,0.0
