,threshold,year,min_temp,occurance_rate
0,0.2,2007,-36,32.185060191418394
1,0.2,2007,-30,19.14566744099469
2,0.2,2007,-24,11.689383794096605
3,0.2,2007,-18,7.002138307437733
4,0.2,2007,-12,2.6528336743759926
5,0.2,2007,-6,0.0025523379415544637
6,0.2,2008,-36,32.0317917533472
7,0.2,2008,-30,19.59576266390652
8,0.2,2008,-24,12.19186966795626
9,0.2,2008,-18,7.3341204873318775
10,0.2,2008,-12,2.6019462917097336
11,0.2,2008,-6,0.0022728546903387006
12,0.2,2009,-36,31.465838174385734
13,0.2,2009,-30,18.72985636596803
14,0.2,2009,-24,11.374272478916737
15,0.2,2009,-18,7.010119811361391
16,0.2,2009,-12,2.5792942415089817
17,0.2,2009,-6,0.0025916569987697253
18,0.2,2010,-36,33.09712344761703
19,0.2,2010,-30,20.34739230007875
20,0.2,2010,-24,12.317966919085872
21,0.2,2010,-18,7.7641418157460755
22,0.2,2010,-12,2.9324158603004213
23,0.2,2010,-6,0.0026697992310978215
24,0.2,2011,-36,32.807626989415546
25,0.2,2011,-30,21.051877739264945
26,0.2,2011,-24,13.040408388833361
27,0.2,2011,-18,8.15450532765843
28,0.2,2011,-12,3.1943026309874707
29,0.2,2011,-6,0.002861598775235724
30,0.2,2012,-36,33.34734490689309
31,0.2,2012,-30,21.112895295141097
32,0.2,2012,-24,13.151868266000468
33,0.2,2012,-18,8.023661496948794
34,0.2,2012,-12,2.9918134520788056
35,0.2,2012,-6,0.0035217090394615153
36,0.2,2013,-36,32.40958767240403
37,0.2,2013,-30,19.295700227919134
38,0.2,2013,-24,11.58171898175871
39,0.2,2013,-18,7.101569692446962
40,0.2,2013,-12,2.6542339970422555
41,0.2,2013,-6,0.0027139906216546296
42,0.2,2014,-36,31.457551568078962
43,0.2,2014,-30,18.77246791390678
44,0.2,2014,-24,11.390515236183068
45,0.2,2014,-18,6.9660145457582505
46,0.2,2014,-12,2.4396588565376542
47,0.2,2014,-6,0.0028103658784110817
48,0.2,2015,-36,31.28150311120381
49,0.2,2015,-30,18.22380252520631
50,0.2,2015,-24,10.933795536847319
51,0.2,2015,-18,6.925492231251554
52,0.2,2015,-12,2.6502037439872543
53,0.2,2015,-6,0.002218471948214526
54,0.3,2007,-36,18.294672036346167
55,0.3,2007,-30,10.634179703621598
56,0.3,2007,-24,6.300915976027421
57,0.3,2007,-18,3.7421639469780352
58,0.3,2007,-12,1.3208796131997351
59,0.3,2007,-6,0.0
60,0.3,2008,-36,18.092494799167866
61,0.3,2008,-30,10.878847456265733
